PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;542;Krimpen aan den IJssel;2921;Krimpen aan den IJssel;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;542;Krimpen aan den IJssel;2922;Krimpen aan den IJssel;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;6;3;5;2;7;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;542;Krimpen aan den IJssel;2923;Krimpen aan den IJssel;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;3;6;6;4;4;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;542;Krimpen aan den IJssel;2924;Krimpen aan den IJssel;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;4;2;3;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;542;Krimpen aan den IJssel;2925;Krimpen aan den IJssel;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;3;5;3;4;5;2;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;542;Krimpen aan den IJssel;2926;Krimpen aan den IJssel;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;1;3;2;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;542;Krimpen aan den IJssel;2935;Krimpenerwaard;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;542;Krimpen aan den IJssel;3068;Rotterdam;03HV;01;Basissch de Triangel;2925BX;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;542;Krimpen aan den IJssel;2831;Krimpenerwaard;06FA;00;Jacobus Koelmanschool;2925VH;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Reformatorisch;25196;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;542;Krimpen aan den IJssel;2921;Krimpen aan den IJssel;06FA;00;Jacobus Koelmanschool;2925VH;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;Bo;Reformatorisch;25196;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
