PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1507;Horst aan de Maas;5801;Venray;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5803;Venray;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5808;Venray;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5811;Venray;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5813;Venray;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5861;Venray;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1507;Horst aan de Maas;5862;Venray;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5864;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1507;Horst aan de Maas;5865;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5866;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5871;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1507;Horst aan de Maas;5922;Venlo;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1507;Horst aan de Maas;5961;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;2;3;5;4;3;5;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;1507;Horst aan de Maas;5962;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1507;Horst aan de Maas;5966;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1507;Horst aan de Maas;5971;Horst aan de Maas;00YG;00;SBO De Twister;5961BA;HORST;Limburg;Sbo;Rooms-Katholiek;47920;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
