PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;160;Hardenberg;  20;Duitsland;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;160;Hardenberg;7574;Oldenzaal;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;160;Hardenberg;7683;Twenterand;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;160;Hardenberg;7691;Hardenberg;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;1;1;0;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;160;Hardenberg;7692;Hardenberg;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;160;Hardenberg;7693;Hardenberg;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;160;Hardenberg;7694;Hardenberg;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;160;Hardenberg;7695;Hardenberg;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;160;Hardenberg;7696;Hardenberg;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;160;Hardenberg;7701;Hardenberg;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;Overijssel;Sbo;Protestants-Christelijk;40946;0;0;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
