PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;687;Middelburg;4341;Middelburg;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4341;Middelburg;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
20171001;687;Middelburg;4351;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4352;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4353;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4356;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4356;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4357;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4361;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;687;Middelburg;4361;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
20171001;687;Middelburg;4363;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;4
20171001;687;Middelburg;4371;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4371;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4374;Veere;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4381;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;687;Middelburg;4381;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4382;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;687;Middelburg;4382;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;4
20171001;687;Middelburg;4383;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;3
20171001;687;Middelburg;4384;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4384;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;3
20171001;687;Middelburg;4385;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;687;Middelburg;4385;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;5
20171001;687;Middelburg;4386;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;4
20171001;687;Middelburg;4388;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;So;Algemeen bijzonder;41312;0;0;0;1;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;687;Middelburg;4388;Vlissingen;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;1;0;2;0;4;0;1;0;0;0;0;0;0;0;8
20171001;687;Middelburg;4435;Borsele;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4444;Borsele;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;687;Middelburg;4451;Borsele;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2
20171001;687;Middelburg;4453;Borsele;00OJ;00;Klimopschool;4335XG;MIDDELBURG;Zeeland;Vso;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
