PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;502;Capelle aan den IJssel;2291;Westland;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2403;Alphen aan den Rijn;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2404;Alphen aan den Rijn;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2405;Alphen aan den Rijn;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2406;Alphen aan den Rijn;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2408;Alphen aan den Rijn;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2625;Delft;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2651;Lansingerland;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2662;Lansingerland;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2665;Lansingerland;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;502;Capelle aan den IJssel;2761;Zuidplas;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;502;Capelle aan den IJssel;2906;Capelle aan den IJssel;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
