PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1955;Montferland;6941;Montferland;03QS;00;Basisschool A Schweitzer;6942VA;DIDAM;Gelderland;Bo;Protestants-Christelijk;42330;0;7;10;8;8;11;11;8;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20171001;1955;Montferland;6942;Montferland;03QS;00;Basisschool A Schweitzer;6942VA;DIDAM;Gelderland;Bo;Protestants-Christelijk;42330;0;12;19;21;27;20;28;21;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;171
20171001;1955;Montferland;7036;Montferland;03QS;00;Basisschool A Schweitzer;6942VA;DIDAM;Gelderland;Bo;Protestants-Christelijk;42330;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;7041;Montferland;03QS;00;Basisschool A Schweitzer;6942VA;DIDAM;Gelderland;Bo;Protestants-Christelijk;42330;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;  20;Duitsland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6914;Rijnwaarden;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;7006;Doetinchem;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;7007;Doetinchem;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;7038;Montferland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;15;16;14;19;16;21;18;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;143
20171001;1955;Montferland;7039;Montferland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1955;Montferland;7041;Montferland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;7045;Montferland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1955;Montferland;7046;Montferland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;1;1;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1955;Montferland;7047;Montferland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1955;Montferland;7048;Montferland;03TG;00;Roncalli Basisschool;7038AL;ZEDDAM;Gelderland;Bo;Rooms-Katholiek;50844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6822;Arnhem;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6826;Arnhem;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6832;Arnhem;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6882;Rheden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6901;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1955;Montferland;6901;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1955;Montferland;6902;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6903;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1955;Montferland;6903;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;5
20171001;1955;Montferland;6904;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1955;Montferland;6904;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;3
20171001;1955;Montferland;6905;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6905;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1955;Montferland;6909;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;1;1;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1955;Montferland;6909;Zevenaar;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2
20171001;1955;Montferland;6911;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1955;Montferland;6911;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;5
20171001;1955;Montferland;6914;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6915;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1955;Montferland;6915;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;5
20171001;1955;Montferland;6916;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1955;Montferland;6916;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;1955;Montferland;6917;Rijnwaarden;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6921;Duiven;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;1;1;1;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1955;Montferland;6921;Duiven;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;5
20171001;1955;Montferland;6922;Duiven;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1955;Montferland;6922;Duiven;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;3
20171001;1955;Montferland;6923;Duiven;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6923;Duiven;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
20171001;1955;Montferland;6931;Westervoort;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1955;Montferland;6931;Westervoort;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1955;Montferland;6932;Westervoort;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1955;Montferland;6932;Westervoort;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;4
20171001;1955;Montferland;6941;Montferland;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;2;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1955;Montferland;6941;Montferland;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;Vso;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;5
20171001;1955;Montferland;6942;Montferland;04AN;00;St Christoffelschool;6942VK;DIDAM;Gelderland;So;Algemeen bijzonder;40631;0;0;3;2;1;3;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15
