PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;984;Venray;5801;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;2;0;2;1;4;4;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;984;Venray;5802;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;6;4;4;4;8;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20171001;984;Venray;5803;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;1;2;0;5;1;4;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;984;Venray;5804;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;3;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;984;Venray;5809;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5811;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5813;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;984;Venray;5815;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;984;Venray;5825;Boxmeer;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5854;Bergen (L.);00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5863;Venray;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5943;Venlo;00SQ;00;SSBO Focus;5801AP;VENRAY;Limburg;Sbo;Rooms-Katholiek;44397;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5801;Venray;01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5802;Venray;01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;984;Venray;5803;Venray;01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5804;Venray;01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5807;Venray;01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5808;Venray;01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5814;Venray;01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;984;Venray;5855;Bergen (L.);01UQ;03;Sch v Langd Zieke Kind;5801VD;VENRAY;Limburg;So;Rooms-Katholiek;85581;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
