PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;294;Winterswijk;  30;ander land;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;294;Winterswijk;7101;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;4;6;6;4;3;8;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
20171001;294;Winterswijk;7102;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;2;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;294;Winterswijk;7103;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;3;0;3;0;4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;294;Winterswijk;7104;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;294;Winterswijk;7105;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;294;Winterswijk;7107;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;294;Winterswijk;7108;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;294;Winterswijk;7109;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;294;Winterswijk;7113;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;294;Winterswijk;7115;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;294;Winterswijk;7119;Winterswijk;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;294;Winterswijk;7131;Oost Gelre;04FT;00;Vrije Basissch De Esch;7101JH;WINTERSWIJK;Gelderland;Bo;Antroposofisch;77456;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
