PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;150;Deventer;7205;Zutphen;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7206;Zutphen;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;150;Deventer;7207;Zutphen;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7211;Lochem;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;4
20171001;150;Deventer;7383;Voorst;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7411;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;7413;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7414;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7415;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3
20171001;150;Deventer;7416;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
20171001;150;Deventer;7417;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7418;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;7419;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7421;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7423;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;4
20171001;150;Deventer;7424;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7425;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7433;Deventer;02PQ;05;LSG Rentray;7418AH;DEVENTER;Overijssel;Vso;Protestants-Christelijk;41635;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7415;Deventer;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;7424;Deventer;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;7425;Deventer;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7433;Deventer;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7434;Deventer;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;14;10;14;9;8;9;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86
20171001;150;Deventer;7435;Deventer;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7437;Deventer;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;7451;Rijssen-Holten;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;8112;Raalte;03WI;00;RK Basissch Sancta Maria;7434PX;LETTELE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;7326;Apeldoorn;04NU;00;Het Palet;7415AR;DEVENTER;Overijssel;Bo;Protestants-Christelijk;23128;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7391;Voorst;04NU;00;Het Palet;7415AR;DEVENTER;Overijssel;Bo;Protestants-Christelijk;23128;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7412;Deventer;04NU;00;Het Palet;7415AR;DEVENTER;Overijssel;Bo;Protestants-Christelijk;23128;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7413;Deventer;04NU;00;Het Palet;7415AR;DEVENTER;Overijssel;Bo;Protestants-Christelijk;23128;0;5;8;7;8;8;10;9;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;66
20171001;150;Deventer;7415;Deventer;04NU;00;Het Palet;7415AR;DEVENTER;Overijssel;Bo;Protestants-Christelijk;23128;0;6;9;9;8;10;14;14;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;150;Deventer;7416;Deventer;04NU;00;Het Palet;7415AR;DEVENTER;Overijssel;Bo;Protestants-Christelijk;23128;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7417;Deventer;04NU;00;Het Palet;7415AR;DEVENTER;Overijssel;Bo;Protestants-Christelijk;23128;0;0;2;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;150;Deventer;7214;Lochem;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7413;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;1;3;1;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;150;Deventer;7415;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;10;1;9;3;2;3;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;150;Deventer;7416;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;0;2;3;1;5;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;150;Deventer;7417;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7423;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7424;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;0;0;1;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;150;Deventer;7425;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;150;Deventer;7433;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;42;50;37;51;39;45;41;35;7;0;0;0;0;0;0;0;0;0;0;0;0;0;347
20171001;150;Deventer;7434;Deventer;04YY;00;Nicolaas Basisschool;7433DK;SCHALKHAAR;Overijssel;Bo;Rooms-Katholiek;53730;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7411;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;0;1;2;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;150;Deventer;7412;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;23;12;18;18;15;12;17;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;126
20171001;150;Deventer;7413;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;19;15;17;19;14;22;12;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;132
20171001;150;Deventer;7414;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;8;10;7;9;2;9;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
20171001;150;Deventer;7415;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;18;10;17;14;13;15;15;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20171001;150;Deventer;7416;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;3;1;3;1;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;150;Deventer;7417;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;150;Deventer;7419;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;150;Deventer;7424;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;150;Deventer;7425;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;150;Deventer;7431;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;150;Deventer;7433;Deventer;05VR;00;Deventer Montessori Sch;7415LA;DEVENTER;Overijssel;Bo;Algemeen bijzonder;95148;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
