PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;171;Noordoostpolder;8302;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;6;6;7;3;5;3;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
20171001;171;Noordoostpolder;8303;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;6;8;3;9;6;8;16;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67
20171001;171;Noordoostpolder;8304;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;1;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;171;Noordoostpolder;8308;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8309;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;171;Noordoostpolder;8312;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8313;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;171;Noordoostpolder;8314;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8315;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8316;Noordoostpolder;03KT;00;De Planthof;8303HL;EMMELOORD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;171;Noordoostpolder;8301;Noordoostpolder;03QP;00;SWS De Fladderiep;8317AG;KRAGGENBURG;Flevoland;Bo;Samenwerking PC, RK;40662;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8307;Noordoostpolder;03QP;00;SWS De Fladderiep;8317AG;KRAGGENBURG;Flevoland;Bo;Samenwerking PC, RK;40662;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8317;Noordoostpolder;03QP;00;SWS De Fladderiep;8317AG;KRAGGENBURG;Flevoland;Bo;Samenwerking PC, RK;40662;0;9;10;12;13;10;10;14;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;91
20171001;171;Noordoostpolder;8307;Noordoostpolder;03RA;00;RK Basissch De Horizon;8307AX;ENS;Flevoland;Bo;Rooms-Katholiek;40662;0;11;14;12;20;15;17;21;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;129
20171001;171;Noordoostpolder;8317;Noordoostpolder;03RA;00;RK Basissch De Horizon;8307AX;ENS;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8302;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;3;6;4;1;7;10;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;171;Noordoostpolder;8303;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;8;3;6;2;5;6;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
20171001;171;Noordoostpolder;8304;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;1;2;3;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;171;Noordoostpolder;8307;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;4;2;1;3;0;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;171;Noordoostpolder;8308;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;1;2;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;171;Noordoostpolder;8309;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;8;4;6;6;10;2;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49
20171001;171;Noordoostpolder;8311;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;1;2;1;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;171;Noordoostpolder;8312;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;2;1;1;2;1;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;171;Noordoostpolder;8315;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;2;0;0;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;171;Noordoostpolder;8316;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;171;Noordoostpolder;8317;Noordoostpolder;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8321;Urk;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;171;Noordoostpolder;8341;Steenwijkerland;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8373;Steenwijkerland;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8531;De Fryske Marren;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;171;Noordoostpolder;8565;De Fryske Marren;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;171;Noordoostpolder;8566;De Fryske Marren;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;2;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;171;Noordoostpolder;8567;De Fryske Marren;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;1;4;2;3;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;171;Noordoostpolder;8574;De Fryske Marren;03TD;00;Basissch Eben Haezer;8303ZR;EMMELOORD;Flevoland;Bo;Reformatorisch;46152;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;171;Noordoostpolder;8304;Noordoostpolder;04ZB;00;Mariabasisschool;8316BL;MARKNESSE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8305;Noordoostpolder;04ZB;00;Mariabasisschool;8316BL;MARKNESSE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8315;Noordoostpolder;04ZB;00;Mariabasisschool;8316BL;MARKNESSE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;171;Noordoostpolder;8316;Noordoostpolder;04ZB;00;Mariabasisschool;8316BL;MARKNESSE;Flevoland;Bo;Rooms-Katholiek;40662;0;9;9;12;8;14;21;7;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;91
20171001;171;Noordoostpolder;8317;Noordoostpolder;04ZB;00;Mariabasisschool;8316BL;MARKNESSE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8302;Noordoostpolder;04ZX;00;Titus Brandsma School;8308AL;NAGELE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8305;Noordoostpolder;04ZX;00;Titus Brandsma School;8308AL;NAGELE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8307;Noordoostpolder;04ZX;00;Titus Brandsma School;8308AL;NAGELE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8308;Noordoostpolder;04ZX;00;Titus Brandsma School;8308AL;NAGELE;Flevoland;Bo;Rooms-Katholiek;40662;0;7;13;15;10;12;11;9;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;91
20171001;171;Noordoostpolder;8309;Noordoostpolder;04ZX;00;Titus Brandsma School;8308AL;NAGELE;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;171;Noordoostpolder;8303;Noordoostpolder;05CZ;00;SWS Fondali;8312AX;CREIL;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;171;Noordoostpolder;8311;Noordoostpolder;05CZ;00;SWS Fondali;8312AX;CREIL;Flevoland;Bo;Rooms-Katholiek;40662;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
